state,district,year,season,crop,area_ha,production_t,yield_t_ha
Andhra Pradesh,PRAKASAM,2003,Kharif,Rice,14621.0,41992.0,2.872
Andhra Pradesh,PRAKASAM,2003,Rabi,Rice,31497.0,79278.0,2.517
Andhra Pradesh,PRAKASAM,2004,Kharif,Rice,27435.0,95446.0,3.479
Andhra Pradesh,PRAKASAM,2004,Rabi,Rice,66134.0,220491.0,3.334
Andhra Pradesh,PRAKASAM,2005,Kharif,Rice,54390.0,144351.0,2.654
Andhra Pradesh,PRAKASAM,2005,Rabi,Rice,95020.0,340932.0,3.588
Andhra Pradesh,PRAKASAM,2006,Kharif,Rice,41191.0,124809.0,3.03
Andhra Pradesh,PRAKASAM,2006,Rabi,Rice,79875.0,297215.0,3.721
Andhra Pradesh,PRAKASAM,2007,Kharif,Rice,47000.0,173000.0,3.6809
Andhra Pradesh,PRAKASAM,2007,Rabi,Rice,80000.0,287000.0,3.5875
Andhra Pradesh,PRAKASAM,2008,Kharif,Rice,47434.0,167774.0,3.537
Andhra Pradesh,PRAKASAM,2008,Rabi,Rice,83957.0,314503.0,3.746
Andhra Pradesh,PRAKASAM,2009,Kharif,Rice,32959.0,117730.0,3.572
Andhra Pradesh,PRAKASAM,2009,Rabi,Rice,96240.0,371390.0,3.859
Andhra Pradesh,PRAKASAM,2010,Kharif,Rice,48878.0,143300.0,2.9318
Andhra Pradesh,PRAKASAM,2010,Rabi,Rice,107903.0,376150.0,3.486
Andhra Pradesh,PRAKASAM,2011,Kharif,Rice,39122.0,134932.0,3.449
Andhra Pradesh,PRAKASAM,2011,Rabi,Rice,79396.0,292098.0,3.679
Andhra Pradesh,PRAKASAM,2012,Kharif,Rice,17820.0,64027.0,3.593
Andhra Pradesh,PRAKASAM,2012,Rabi,Rice,33942.0,125959.0,3.711
Andhra Pradesh,PRAKASAM,2013,Kharif,Rice,58034.0,213391.0,3.677
Andhra Pradesh,PRAKASAM,2013,Rabi,Rice,80544.0,318874.0,3.959
Andhra Pradesh,PRAKASAM,2014,Kharif,Rice,31764.0,121783.0,3.834
Andhra Pradesh,PRAKASAM,2014,Rabi,Rice,73533.0,284132.0,3.864
Andhra Pradesh,PRAKASAM,2014,Whole Year,Rice,105297.0,405915.0,3.855
Andhra Pradesh,SPSR NELLORE,1997,Kharif,Rice,48700.0,127600.0,2.6201
Andhra Pradesh,SPSR NELLORE,1997,Rabi,Rice,182100.0,544600.0,2.9907
Andhra Pradesh,SPSR NELLORE,1998,Kharif,Rice,44700.0,133400.0,2.9843
Andhra Pradesh,SPSR NELLORE,1998,Rabi,Rice,183300.0,542300.0,2.9585
Andhra Pradesh,SPSR NELLORE,1999,Kharif,Rice,45768.0,136695.0,2.9867
Andhra Pradesh,SPSR NELLORE,1999,Rabi,Rice,152441.0,407231.0,2.6714
Andhra Pradesh,SPSR NELLORE,2000,Kharif,Rice,55041.0,171563.0,3.117
Andhra Pradesh,SPSR NELLORE,2000,Rabi,Rice,132867.0,367510.0,2.766
Andhra Pradesh,SPSR NELLORE,2001,Kharif,Rice,34297.0,108413.0,3.161
Andhra Pradesh,SPSR NELLORE,2001,Rabi,Rice,176106.0,597352.0,3.392
